,Chorus,BishopOfEly,Clarence_2H4,Gloucester_2H4,Exeter,Bedford,Westmoreland_1H4,Warwick_2H4,ATTENDANTS.ENGLISH,HenryV,BishopOfCanterbury,AMBASSADORS,ATTENDANTS.ENGLISH.0,Grey,Cambridge,Scroop,SOLDIERS.ENGLISH,Governor,Fluellen,Gower,Montjoy,Erpingham,Pistol_2H4,SOLDIERS.ENGLISH.Bates,SOLDIERS.ENGLISH.Williams,SOLDIERS.ENGLISH.Court,Salisbury,York,SOLDIERS.FRENCH,HERALDS,Bourbon,HERALDS.1,QueenOfFrance,ATTENDANTS.ENGLISH.Huntington,KingOfFrance,Burgundy,Alice,Katherine,ATTENDANTS.FRENCH,Berri,Constable,Dauphin,Brittany,Nym,MistressQuickly_1H4,Boy,Bardolph_1H4,SOLDIERS.FRENCH.LeFer,MESSENGERS.X.1,Orleans,Rambures,Beaumont,Grandpre,MESSENGERS.X.3,MESSENGERS.X.2,Jamy,MacMorris
MistressQuickly_1H4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,0.0,324.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,113.0,298.0,155.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bedford,0.0,0.0,0.0,66.0,98.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scroop,0.0,0.0,0.0,0.0,111.0,111.0,111.0,0.0,111.0,111.0,0.0,0.0,0.0,111.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambridge,0.0,0.0,0.0,0.0,133.0,133.0,133.0,0.0,133.0,133.0,0.0,0.0,0.0,133.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grey,0.0,0.0,0.0,0.0,102.0,102.0,102.0,0.0,102.0,102.0,0.0,0.0,0.0,0.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grey Scroop,0.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,9.0,9.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KingOfFrance,0.0,0.0,0.0,0.0,314.0,78.0,226.0,78.0,166.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,78.0,0.0,226.0,226.0,226.0,739.0,388.0,661.0,661.0,661.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dauphin,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,433.0,0.0,0.0,0.0,970.0,343.0,1082.0,0.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,685.0,685.0,89.0,24.0,24.0,0.0,0.0,0.0
Constable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0,805.0,92.0,0.0,825.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,816.0,816.0,280.0,58.0,270.0,132.0,0.0,0.0
MESSENGERS.X.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
