,Chorus,LordBardolph,Porter,Northumberland_R2,Travers,Morton,Archbishop_1H4,Mowbray,Hastings,LadyNorthumberland,LadyPercy_1H4,SERVANTS.FALSTAFF.1,ChiefJustice,SERVANTS.CHIEFJUSTICE.1,Bardolph_1H4,MistressQuickly_1H4,OFFICERS.Fang,OFFICERS.Snare,OFFICERS,MESSENGERS.Gower,DRAWERS.Will,DollTearsheet,DRAWERS.X,Pistol,DRAWERS.Francis_1H4,MUSICIANS,HenryV_H5,Poins_1H4,Silence,Man,Shallow,Mouldy,Bullcalf,Shadow,Wart,Feeble,Colevile,SOLDIERS.HENRY,Bedford_H5,Blunt,Westmoreland_1H4,Falstaff_1H4,Davy,ATTENDANTS,Warwick,Gloucester,Clarence,SOLDIERS.REBEL,MESSENGERS.1,BEADLES,Peto_1H4,HenryIV_1H4,Harcourt,DRAWERS.1,SERVANTS.HENRY,Surrey,GROOMS.2,GROOMS.1,Epilogue
Archbishop_1H4,0.0,1302.0,0.0,0.0,0.0,0.0,0.0,1302.0,1302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,239.0,0.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mowbray,0.0,518.0,0.0,0.0,0.0,0.0,518.0,0.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,466.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hastings,0.0,532.0,0.0,0.0,0.0,0.0,532.0,532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,140.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MistressQuickly_1H4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,808.0,435.0,0.0,786.0,0.0,883.0,883.0,435.0,104.0,103.0,951.0,244.0,158.0,95.0,95.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OFFICERS.Fang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,68.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OFFICERS.Snare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OFFICERS.Fang OFFICERS.Snare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MESSENGERS.Gower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,72.0,0.0,23.0,23.0,23.0,23.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HenryV_H5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1037.0,952.0,0.0,1037.0,329.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,279.0,262.0,329.0,0.0,1278.0,0.0,0.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679.0,673.0,333.0,608.0,0.0,618.0,1006.0,1006.0,1006.0,0.0,0.0,0.0,67.0,774.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0
Poins_1H4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,345.0,87.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,87.0,87.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
