,York_1H6,Montague,Norfolk,SOLDIERS.YORK,EdwardIV,RichardIII_R3,Exeter,SOLDIERS.LANCASTER,Northumberland,HenryVI_1H6,Westmorland,Clifford,SOLDIERS.WARWICK,MESSENGERS.X.3,PrinceEdward,QueenMargaret_1H6,Clarence,Warwick_2H6,LadyBona,Oxford,KingLewis,Bourbon,MESSENGERS.Post,SOLDIERS.FRENCH,Somerset,WATCHMEN.2,WATCHMEN.1,WATCHMEN.3,Lieutenant,HenryVII_R3,MayorOfCoventry,MESSENGERS.2,MESSENGERS.1,Somerville,SOLDIERS.OXFORD,SOLDIERS.CLARENCE,JohnMortimer,HughMortimer,MESSENGERS.X.2,ATTENDANTS.EDWARD,QueenElizabeth,ATTENDANTS.EDWARD.1,Pembroke,Stafford,Hastings,Stanley,Huntsman,ALDERMEN,MayorOfYork,SOLDIERS.MONTGOMERY,Montgomery,SOLDIERS.YORK.0.2,EdwardV.Infant,Nurse,SOLDIERS.MONTAGUE,SOLDIERS.SOMERSET,Son,Father,GAMEKEEPERS.1,GAMEKEEPERS.2,Rutland,Tutor,Rivers
Clarence,0.0,458.0,67.0,407.0,921.0,873.0,30.0,0.0,67.0,183.0,0.0,98.0,0.0,0.0,120.0,120.0,0.0,548.0,0.0,343.0,0.0,0.0,64.0,8.0,338.0,0.0,0.0,0.0,86.0,86.0,219.0,0.0,0.0,219.0,0.0,219.0,0.0,0.0,0.0,385.0,385.0,0.0,212.0,212.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Son,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0
Father,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0
GAMEKEEPERS.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0
GAMEKEEPERS.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0
QueenElizabeth,0.0,76.0,0.0,0.0,482.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,0.0,0.0,76.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0
ATTENDANTS.EDWARD.1,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KingLewis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.0,672.0,0.0,527.0,672.0,672.0,0.0,672.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oxford,0.0,12.0,0.0,19.0,19.0,19.0,12.0,79.0,0.0,12.0,0.0,0.0,0.0,0.0,265.0,277.0,44.0,237.0,186.0,0.0,186.0,186.0,24.0,0.0,125.0,0.0,0.0,0.0,0.0,22.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LadyBona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,95.0,0.0,95.0,0.0,95.0,95.0,95.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
